longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %
"Uttar Pradesh, India",,,,,,,,,
"Mahārāshtra, India",,,,,,,,,
"Punjab, Pakistan",,,,,,,,,
"Bihār, India",,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,
"West Bengal, India",,,,,,,,,
"Shandong Sheng, China",,,,,,,,,
"Henan Sheng, China",,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,
"Tamil Nādu, India",,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,
"Rājasthān, India",,,,,,,,,
"Hebei Sheng, China",,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,
"Karnātaka, India",,,,,,,,,
"Gujarāt, India",,,,,,,,,
"Hunan Sheng, China",,,,,,,,,
"Anhui Sheng, China",,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,
"England, United Kingdom",,,,,,,,,
"Hubei Sheng, China",,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,
"Sindh, Pakistan",,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,
"São Paulo, Brazil",,,,,,,,,
"Odisha, India",,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,
"Kerala, India",,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,
"California, USA",0.735001256194581,0.14184213176265428,0.12315661204276485,0.2649987438054378,0.1710376785418057,0.5639635776527565,0.561431234547453,0.283405329051928,0.15516343640061905
"Shanxi Sheng, China",,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,
"Jhārkhand, India",,,,,,,,,
"Telangāna, India",,,,,,,,,
"Fujian Sheng, China",,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,
"Assam, India",,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,
"Chongqing Shi, China",,,,,,,,,
"Punjab, India",,,,,,,,,
"Shanghai Shi, China",,,,,,,,,
"Haryāna, India",,,,,,,,,
"Texas, USA",0.8300810867944861,0.06760589977716275,0.10231301342835107,0.16991891320550048,0.2352977549649699,0.5947833318295296,0.6490123146752164,0.28684821969473956,0.06413946563004412
"Chhattīsgarh, India",,,,,,,,,
"Jilin Sheng, China",,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,
"Gansu Sheng, China",,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,
"Taiwan, China",,,,,,,,,
"Beijing Shi, China",,,,,,,,,
"Florida, USA",0.7901336247514977,0.12188006979756472,0.08798630545093757,0.209866375248497,0.43078252591139,0.35935109884011296,0.7017751622084952,0.2210531212571557,0.07717171653434893
"Minas Gerais, Brazil",,,,,,,,,
"Delhi, India",,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,
"New York, USA",0.7750896697058514,0.13233352876821758,0.09257680152593122,0.2249103302941299,0.1450285404222033,0.6300611292836668,0.6950030519833197,0.14776757621118053,0.15722937180549978
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,
"Buenos Aires, Argentina",,,,,,,,,
"Rio de Janeiro, Brazil",,,,,,,,,
"Khulna, Bangladesh",,,,,,,,,
"México, Mexico",,,,,,,,,
"Tianjin Shi, China",,,,,,,,,
"Gauteng, South Africa",,,,,,,,,
"Bahia, Brazil",,,,,,,,,
"Jammu and Kashmīr, India",,,,,,,,,
"İstanbul, Turkey",,,,,,,,,
"Ontario, Canada",,,,,,,,,
"Kano, Nigeria",,,,,,,,,
"Sumatera Utara, Indonesia",,,,,,,,,
"Banten, Indonesia",,,,,,,,,
"Gyeonggi-do, South Korea",,,,,,,,,
"Tehrān, Iran",,,,,,,,,
"Mymensingh, Bangladesh",,,,,,,,,
"Tôkyô, Japan",,,,,,,,,
"Bayern, Germany",,,,,,,,,
"Pennsylvania, USA",0.928710763582952,0.038993341506402136,0.03229589491064573,0.07128923641704656,0.21234847693641515,0.7163622866465382,0.883287197764719,0.05190148058898171,0.06481132164629942
"National Capital Region, Philippines",,,,,,,,,
